순위,도서번호,도서명,링크,저자,출판사,출판일,판매가,정가,할인율,판매지수,내용,이미지
1,189114943,"바로바로 클로드 with 코워크, 스킬, 클로드 코드, 디자인",https://www.yes24.com/product/goods/189114943,차진우,골든래빗,2026년 05월,"25,200","28,000",10%,"38,511","바로바로 클로드 with 코워크, 스킬, 클로드 코드, 디자인. * 코워크, 스킬, 클로드 코드, 디자인까지, 클로드의 모든 것을 한 권에!* 바로 배워 바로 쓰는 82가지 미친 활용법으로 10배 빨라지는 업무 속도* 말 한마디면 알아서 다 하는 진짜 AI 비...",https://image.yes24.com/goods/189114943/xl
2,167573138,혼자 공부하는 바이브 코딩 with 클로드 코드,https://www.yes24.com/product/goods/167573138,조태호,한빛미디어,2025년 12월,"27,000","30,000",10%,"80,778","혼자 공부하는 바이브 코딩 with 클로드 코드. 국내 최초 북미 글로벌 IT 출판사 판권 계약 체결! 영어판 출간 확정하버드의과대학교수, 국회의원, 실리콘밸리 벤처캐피탈 창립파트너 등 국내외 전문가 강력 추천!코딩 몰라도, 아이디어만 있으면 앱을 만드는 시대...",https://image.yes24.com/goods/167573138/xl
3,192148896,뚝딱 바로 써먹는 AI 3대장 챗GPT · 제미나이 · 클로드,https://www.yes24.com/product/goods/192148896,코리아교육그룹 연구소,안경다리BOOKS,2026년 06월,"19,800","22,000",10%,"13,017","뚝딱 바로 써먹는 AI 3대장 챗GPT · 제미나이 · 클로드. 안경다리북스 ‘뚝딱’ 시리즈의 첫 번째 책3대 AI를 내 업무에 맞게 쓰는 가장 쉬운 방법처음이어도 바로 써먹는 직장인 AI 실전서남들은 다 AI로 편하게 일한다는데, 나만 뒤처지는 건 아닐까? ...",https://image.yes24.com/goods/192148896/xl
4,176901674,이게 되네? 제미나이 완전 미친 활용법 81제,https://www.yes24.com/product/goods/176901674,오힘찬,골든래빗,2026년 02월,"21,600","24,000",10%,"77,754","이게 되네? 제미나이 완전 미친 활용법 81제. * AI 활용 5만 권 판매 베스트셀러 저자 오힘찬의 완전히 새로운 신간!* “메일 작성하기” 같은 시시한 거 싹 치우고 “AI 영상 만들기” 같은 더 미친 예제를 담아* 구글 AI 혁명의 중심, 〈제미나이〉가 ...",https://image.yes24.com/goods/176901674/xl
5,169849422,"요즘 교사를 위한 에듀테크 5대장 : 캔바, 패들렛, 북크리에이터, 노션, 챗GPT∙제미나이",https://www.yes24.com/product/goods/169849422,"안익재, 황의태",앤써북,2025년 12월,"17,820","19,800",10%,"45,189","요즘 교사를 위한 에듀테크 5대장 : 캔바, 패들렛, 북크리에이터, 노션, 챗GPT∙제미나이. 요즘 교사들이 가장 많이 사용하는 5가지 에듀테크를 수업과 업무 완성에 어떻게 활용했고, 어떻게 활용할 수 있는지 50가지 주제별 실습과 100가지 실제 활용 사례와...",https://image.yes24.com/goods/169849422/xl
6,150566390,"AI 시대의 질문력, 프롬프트 엔지니어링",https://www.yes24.com/product/goods/150566390,류한석,코리아닷컴(Korea.com),2025년 08월,"24,300","27,000",10%,"77,439","AI 시대의 질문력, 프롬프트 엔지니어링. 대한민국 최고의 대기업과 공공기관이 선택한 프롬프트 엔지니어링 교과서당신의 질문력이 곧 당신의 경쟁력이다!책에 포함된 QR 코드를 통해 모든 프롬프트를 다운로드할 수 있다.이제 프롬프트는 새로운 교양이다. 누구나 써야...",https://image.yes24.com/goods/150566390/xl
7,193587161,돈이 되네? 취미 그림이 전 세계로 팔리는 스톡 이미지 [홍차의 커스텀 브러시 제공＋승인율 가이드 전자책 제공],https://www.yes24.com/product/goods/193587161,스튜디오 홍차,골든래빗,2026년 07월,"23,220","25,800",10%,"4,080",돈이 되네? 취미 그림이 전 세계로 팔리는 스톡 이미지 [홍차의 커스텀 브러시 제공＋승인율 가이드 전자책 제공]. ★ 취미로 그린 그림이 평생 연금이 되는 마법! 1달러에서 월 300만 원이 된 수익화 파이프라인★ 네이버 블로그에 검색 최적화(SEO)가 있다면...,https://image.yes24.com/goods/193587161/xl
8,189818905,하네스 엔지니어링 with 클로드 코드,https://www.yes24.com/product/goods/189818905,황민호,한빛미디어,2026년 06월,"27,000","30,000",10%,"20,373","하네스 엔지니어링 with 클로드 코드. 단일 에이전트 대신 ‘에이전트 팀’을 설계하라클로드 코드로 구축하는 최초의 하네스 실전 가이드 AI 에이전트를 도구로 쓰는 단계를 넘어, 스스로 일하는 에이전트 팀을 직접 설계하고 운영하는 방법인 하네스 엔지니어링을 체...",https://image.yes24.com/goods/189818905/xl
9,183751609,한눈에 보는 AI 반도체 산업,https://www.yes24.com/product/goods/183751609,MrTrigger,한빛미디어,2026년 03월,"23,400","26,000",10%,"16,320","한눈에 보는 AI 반도체 산업. AI 반도체 생태계의 구조와 기술 흐름 + 글로벌 기업의 경쟁 구도와 산업 판도 + 투자자가 알아야 할 핵심 포인트를 한눈에!  코스피 열풍과 글로벌 증시를 이끄는 중심에는 AI 반도체 산업이 있다. 엔비디아, TSMC, 삼성전...",https://image.yes24.com/goods/183751609/xl
10,189413191,요즘 교사를 위한 AI 바이브 코딩 활용 가이드 with 2022 개정 교육과정,https://www.yes24.com/product/goods/189413191,"공지훈, 곽수창, 박준효",한빛미디어,2026년 05월,"19,800","22,000",10%,"11,907","요즘 교사를 위한 AI 바이브 코딩 활용 가이드 with 2022 개정 교육과정. 코딩을 몰라도, 상상만으로 나만의 에듀테크를 뚝딱!교사의 교육철학을 담은 맞춤형 수업 도구, 이제 바이브 코딩으로 직접 만드세요.* 실습용 PRD(Product Requireme...",https://image.yes24.com/goods/189413191/xl
11,189211422,클로드 코드로 시작하는 실전 에이전틱 코딩,https://www.yes24.com/product/goods/189211422,Goos Kim,더 타이즈,2026년 05월,"29,700","33,000",10%,"21,165",클로드 코드로 시작하는 실전 에이전틱 코딩.,https://image.yes24.com/goods/189211422/xl
12,192877325,챗GPT · 제미나이 · 클로드까지 모두를 위한 AI,https://www.yes24.com/product/goods/192877325,지현이,시프트,2026년 07월,"19,800","22,000",10%,"5,445","챗GPT · 제미나이 · 클로드까지 모두를 위한 AI. “상상만 하던 아이디어가 현실이 된다.기초 질문 요령부터 이미지, 음악, 영상 생성, 그리고 숏폼 콘텐츠 제작까지 한 권으로 끝내는 생성형 AI 마스터 가이드!”AI가 세상을 바꾸고 있다는 이야기는 많이 ...",https://image.yes24.com/goods/192877325/xl
13,185897982,바쁜 교사를 위한 바로 쓰는 AI,https://www.yes24.com/product/goods/185897982,"전소영, 이태화, 조두연",사회평론아카데미,2026년 04월,"21,600","24,000",10%,"20,301","바쁜 교사를 위한 바로 쓰는 AI. 2022 개정 교육과정 핵심 역량을 실제 수업 사례로 바로 구현!수업 준비와 활동, 결과물 완성까지 AI 기반 `맞춤형 수업 설계`로 한 번에 해결!학교생활기록부 작성, 학생 평가, 학급 운영까지 행정 업무도 AI로 간편하게...",https://image.yes24.com/goods/185897982/xl
14,193389466,현직 영어 쌤들의 바로 통하는 영어 수업 루틴 찐 실전 ChatGPT (생성형 AI (에듀테크) 영어 수업 루틴 활용하기!),https://www.yes24.com/product/goods/193389466,"권수정, 장은정, 이민화, 강미나, 유지민",광문각출판미디어,2026년 07월,"19,000","19,000",,"4,560","현직 영어 쌤들의 바로 통하는 영어 수업 루틴 찐 실전 ChatGPT (생성형 AI (에듀테크) 영어 수업 루틴 활용하기!). 우리의 수업은 매일 반복되지만, 그 안의 고민은 매번 새롭습니다. ‘교과서 수업의 본질을 잃지 않으면서도 수많은 자료와 도구에 헤매지...",https://image.yes24.com/goods/193389466/xl
15,145426898,요즘 교사를 위한 AI 수업 활용 가이드 with 2022 개정 교육과정,https://www.yes24.com/product/goods/145426898,"박진환, 공지훈, 서원진",한빛미디어,2025년 05월,"18,000","20,000",10%,"82,788","요즘 교사를 위한 AI 수업 활용 가이드 with 2022 개정 교육과정. 2022 개정 교육과정에 맞춘 실전 에듀테크 활용서챗GPT, 구글 스프레드시트, 캔바, 퍼플렉시티, 클로드, LilysAI, Jungle AI, Sora, NotebookLM, Napk...",https://image.yes24.com/goods/145426898/xl
16,106711883,진짜 쓰는 실무 엑셀,https://www.yes24.com/product/goods/106711883,전진권,제이펍,2022년 02월,"18,900","21,000",10%,"66,714","진짜 쓰는 실무 엑셀. 대기업 직장 생활 10년의 실무 노하우와 엑셀 유튜브 채널을 운영하면서 들은수많은 직장인의 고민을 해결할 수 있는 다양한 엑셀 비법을 담았다. ‘진짜 쓰는 실무 엑셀’ 한 권이면 빠른 일 처리로 워라밸을 실현하고, 일잘러로 거듭날 수 있...",https://image.yes24.com/goods/106711883/xl
17,189531001,일 잘하는 직장인의 AI 활용법,https://www.yes24.com/product/goods/189531001,"김덕중, 김민정, 김인선",디지털북스,2026년 05월,"19,800","22,000",10%,"9,102","일 잘하는 직장인의 AI 활용법. 반복은 AI에게 넘기고, 판단에만 집중하라기획 업무부터 업무 자동화까지 일의 구조를 바꾸면 하루가 달라진다!  AI 툴을 써봤지만, 달라진 게 없다면, 그건 도구의 문제가 아닙니다. 《일 잘하는 직장인의 AI 활용법》은 왜 같...",https://image.yes24.com/goods/189531001/xl
18,188182444,된다! 캡컷 영상 편집,https://www.yes24.com/product/goods/188182444,지민이,이지스퍼블리싱,2026년 05월,"19,800","22,000",10%,"10,932","된다! 캡컷 영상 편집. 긴 유튜브 영상부터 쇼츠, 릴스까지 무료 프로그램인 ‘캡컷’으로 편집하자!64개 예제로 빠르게 기초 닦고 전문가의 편집 기법까지 완전 정복!크로마키, 자동 자막, AI 더빙도 쉽게 따라 하는 캡컷 입문서!영상 편집이라는 단어만 봐도 지...",https://image.yes24.com/goods/188182444/xl
19,189855418,"조코딩의 바이브 코딩 1인 창업 with 클로드 코드, 수파베이스, 스트라이프",https://www.yes24.com/product/goods/189855418,조동근,한빛미디어,2026년 05월,"27,000","30,000",10%,"12,858","조코딩의 바이브 코딩 1인 창업 with 클로드 코드, 수파베이스, 스트라이프. 기획부터 엑시트까지 코드 한 줄 없이 AI로 만들고, 데이터로 키우고, 글로벌로 판다!‘진짜’ 매출이 일어나는 내 서비스를 만드는 법AI 기술의 급속한 발전은 1인 창업가에게 전례...",https://image.yes24.com/goods/189855418/xl
20,119293186,Do it! 점프 투 파이썬,https://www.yes24.com/product/goods/119293186,박응용,이지스퍼블리싱,2023년 06월,"19,800","22,000",10%,"40,560","Do it! 점프 투 파이썬. 프로그래밍 분야 8년 연속 베스트셀러!『Do it! 점프 투 파이썬』 전면 개정 2판 출시! 중고등학생도, 비전공자도, 직장인도 프로그래밍에 눈뜨게 만든 바로 그 책이 전면 개정 2판으로 새롭게 태어났다! 챗GPT를 시작으로 펼쳐...",https://image.yes24.com/goods/119293186/xl
21,189634812,교사를 위한 AI 에듀테크 수업·생활·업무 대백과,https://www.yes24.com/product/goods/189634812,"송해남, 한의표, 김은서, 박수임, 김혜진 저 외 1명
                                        
정보 더 보기/감추기



송해남
한의표
김은서
박수임
김혜진
유영재",프리렉,2026년 05월,"24,300","27,000",10%,"9,576","교사를 위한 AI 에듀테크 수업·생활·업무 대백과. 출근부터 퇴근까지, 선생님의 하루를 책임지는 완벽한 AI 에듀테크 치트키!현직 얼리어답터 교사들이 엄선한 41가지 핵심 도구와 단 한 장으로 끝내는 실전 레시피급변하는 AI 시대, 새로운 도구가 등장할 때마다...",https://image.yes24.com/goods/189634812/xl
22,186846424,클로드 코드 마스터,https://www.yes24.com/product/goods/186846424,"이남희, 백승현",한빛미디어,2026년 04월,"32,400","36,000",10%,"14,175","클로드 코드 마스터. 클로드 코드 하나로기획·개발·운영을 한 번에 끝낸다AI 에이전틱 코딩의 실전 워크플로를 처음부터 끝까지 담은 최초의 클로드 코드 전문서. AI 코딩 도구는 이제 스스로 작업을 정의하고, 설계하고, 테스트까지 반복하는 `에이전트`로 진화했다...",https://image.yes24.com/goods/186846424/xl
23,163301895,된다! 하루 만에 끝내는 제미나이 활용법,https://www.yes24.com/product/goods/163301895,권서림,이지스퍼블리싱,2025년 11월,"18,000","20,000",10%,"75,963","된다! 하루 만에 끝내는 제미나이 활용법. 업무·SNS·일상 어디든 활용할 수 있는 70가지 예제로 제미나이를 쉽게 배운다!스마트폰 속 제미나이 앱과 노트북LM, 구글 AI 스튜디오까지 200% 활용하자!이 책은 AI에 쉽게 적응하고 싶은 초보자를 위한 제미나...",https://image.yes24.com/goods/163301895/xl
24,159167901,3줄의 글로 수익을 만드는 스레드 운영법,https://www.yes24.com/product/goods/159167901,이동영,한빛미디어,2025년 10월,"18,000","20,000",10%,"13,728","3줄의 글로 수익을 만드는 스레드 운영법. 국내 최초 스레드 활용 종이책!짧은 텍스트로 돈을 버는 블루오션 SNS, 스레드 운영 전략을 배운다!메타가 선보인 신생 SNS 스레드(Threads)는 뜨겁게 떠오른 플랫폼이다. 뉴스 기사에서는 `스레드 일일 사용자 ...",https://image.yes24.com/goods/159167901/xl
25,192127768,"클로드 올인원 with 코워크, 코드, 디자인",https://www.yes24.com/product/goods/192127768,"클리커, 강민혁",한빛미디어,2026년 06월,"28,800","32,000",10%,"4,476","클로드 올인원 with 코워크, 코드, 디자인. 클로드, 아직 채팅창으로만 쓰십니까?코딩은 몰라도 됩니다. 터미널 명령도, 어려운 문법도 외울 필요 없습니다. 회의록 정리와 고객 답장처럼 지금 당장 급한 일에서 출발해, 반복 업무를 스킬로 줄이고, 외부 자료를...",https://image.yes24.com/goods/192127768/xl
26,109625396,혼자 공부하는 파이썬,https://www.yes24.com/product/goods/109625396,윤인성,한빛미디어,2022년 06월,"19,800","22,000",10%,"21,984",혼자 공부하는 파이썬. 파이썬 입문 베스트셀러 『혼자 공부하는 파이썬』 개정판(최신 3.10 버전 반영)혼공을 독려하는 ‘혼공 계획표’와 생각의 수준을 높이는 ‘누적 예제’와 ‘도전 문제’ 수록!『혼자 공부하는 파이썬』이 더욱 흥미있고 알찬 내용으로 개정되었다...,https://image.yes24.com/goods/109625396/xl
27,193444437,UX의 언어들,https://www.yes24.com/product/goods/193444437,"한성희, 신행철",파지트,2026년 07월,"15,300","17,000",10%,"1,830","UX의 언어들. 일상 속 UX의 발견UX 세계를 향한 친절한 안내서 『UX의 언어들』은 일상 속에 스며든 UX를 UX 디자이너의 시선으로 풀어내며, 우리가 이를 어떻게 경험하고 소비하는지 넷플릭스, 카카오 등 친숙한 사례를 통해 UX의 세계로 안내한다.UX는 ...",https://image.yes24.com/goods/193444437/xl
28,180953300,슈퍼휴먼 슈퍼워크,https://www.yes24.com/product/goods/180953300,"유호현, 김진실",골든래빗,2026년 03월,"21,600","24,000",10%,"4,815","슈퍼휴먼 슈퍼워크. * 트위터·에어비앤비 출신 엔지니어가 공개하는 AI 에이전트 시대, 일의 절대 문법* 앞으로 2년 후, 당신은 AI에게 대체될 것인가?* 아니면 AI를 지휘하는 ‘슈퍼휴먼’이 될 것인가?저자는 실리콘밸리에서 10년간 트위터, 에어비앤비에서 ...",https://image.yes24.com/goods/180953300/xl
29,192505185,피지컬 AI 시스템 설계,https://www.yes24.com/product/goods/192505185,엥지유니버스,한빛미디어,2026년 06월,"27,000","30,000",10%,"6,747","피지컬 AI 시스템 설계. LLM/VLM에서 VLA까지,시뮬레이터·데이터·오픈 생태계로 설계하는 로봇 지능AI의 다음 무대는 더 이상 화면 안에만 머물지 않습니다. 지금까지의 생성형 AI가 글을 쓰고, 이미지를 만들고, 코드를 생성하는 지능이었다면, 피지컬 A...",https://image.yes24.com/goods/192505185/xl
30,187173505,바이브 코더를 위한 최소한의 AI/IT 지식,https://www.yes24.com/product/goods/187173505,"클리커, 이희영",한빛미디어,2026년 04월,"19,800","22,000",10%,"6,813","바이브 코더를 위한 최소한의 AI/IT 지식. 모르면서 왜 이렇게 자신 있게 틀리는지 의아했다면, 같은 프롬프트를 넣어도 왜 결과가 다른지 이해할 수 없었다면, API가 뭔지는 모르겠지만 100번은 써본 것 같다면, AI의 손발이 아니라 ‘머리’가 될 시간!이...",https://image.yes24.com/goods/187173505/xl
31,192876161,교사와 학부모를 위한 바이브 코딩,https://www.yes24.com/product/goods/192876161,"황건호, 신종환, 김형규, 김명휘",씨마스21,2026년 07월,"24,300","27,000",10%,"2,832",교사와 학부모를 위한 바이브 코딩. 코딩 몰라도 AI와 대화하며 교육용 웹앱을 만든다초·중·고등 교사와 학부모를 위한 바이브 코딩 입문서생성형 AI와의 대화만으로 교육용 웹앱과 학습 도구를 직접 만들어 보는 실전 안내서 『교사와 학부모를 위한 바이브 코딩』이 ...,https://image.yes24.com/goods/192876161/xl
32,189212536,지적 대화를 위한 AI 언어 수업,https://www.yes24.com/product/goods/189212536,강수진,어웨이크(AWAKE),2026년 05월,"18,000","20,000",10%,"11,262","지적 대화를 위한 AI 언어 수업. “AI는 당신의 언어만큼 똑똑해진다.”기술의 속도에 휩쓸리지 않는 가장 완벽한 프롬프트 교과서‘국내 공채 1호 프롬프트 엔지니어’가 밝히는 ‘AI 시대, 대화의 기술’누구나 AI를 사용하지만 모두가 원하는 답을 얻지는 못한다...",https://image.yes24.com/goods/189212536/xl
33,189114942,바로바로 제미나이 X 구글 AI,https://www.yes24.com/product/goods/189114942,공냥이,골든래빗,2026년 06월,"21,600","24,000",10%,"10,233","바로바로 제미나이 X 구글 AI. * 구글을 아직도 ‘검색’에만 쓰고 있나요? 그렇다면 당신은 아직도 자동차를 밀고 다니는 겁니다.* 제미나이·노트북LM·나노 바나나 2·플로우·스티치로 바이브 코딩까지, 구글 생태계 도구 완전 정복* 처음이어도 걱정 없이, 구...",https://image.yes24.com/goods/189114942/xl
34,183538633,요즘 교사를 위한 에듀테크 수업 활용 가이드 with 2022 개정 교육과정,https://www.yes24.com/product/goods/183538633,"박진환, 서원진, 박권",한빛미디어,2026년 04월,"21,600","24,000",10%,"12,015","요즘 교사를 위한 에듀테크 수업 활용 가이드 with 2022 개정 교육과정. 에듀테크 베스트셀러 1위 집필진이 다시 뭉쳤다!수업 몰입도를 높이는 게임형 퀴즈부터 교사 업무의 짐을 덜어주는 자동화 비법까지,〈요즘 교사〉 3인이 제안하는 가장 실무적인 에듀테크 ...",https://image.yes24.com/goods/183538633/xl
35,183674597,"클로드 코워크 with 스킬, 플러그인",https://www.yes24.com/product/goods/183674597,"클리커, 강민혁",한빛미디어,2026년 03월,"23,400","26,000",10%,"12,588","클로드 코워크 with 스킬, 플러그인. 이 작업, AI한테 맡길 수 있지 않을까?퇴근을 앞당기는 클로드 코워크보고서를 쓸 때마다 엑셀을 열고, 복사하고, 붙여 넣는 반복. 회의록에서 액션 아이템을 뽑아 이메일 초안까지 만드는 긴 흐름. 번거롭다는 걸 알면서도...",https://image.yes24.com/goods/183674597/xl
36,191481932,"요즘 교사를 위한 구글 AI 3대장_제미나이, 노트북LM, AI 스튜디오",https://www.yes24.com/product/goods/191481932,"송명신, 최연준, 최수진, 양서현",앤써북,2026년 06월,"15,930","17,700",10%,"5,406","요즘 교사를 위한 구글 AI 3대장_제미나이, 노트북LM, AI 스튜디오. 『요즘 교사를 위한 구글 AI 3대장』은 교사들이 가장 많이 사용하는 구글 AI 대표 3종과 보조 AI 10종의 혼합 활용법을 수업준비, 행정업무, 학급경영 3가지 큰 주제의 42가지 ...",https://image.yes24.com/goods/191481932/xl
37,184533580,학교에서 바로 쓰는 제미나이 & 노트북LM,https://www.yes24.com/product/goods/184533580,"손성호, 김민, 김상백, 송유미, 박권 저 외 1명
                                        
정보 더 보기/감추기



손성호
김민
김상백
송유미
박권
최동욱",학교도서관저널,2026년 04월,"17,100","19,000",10%,"12,090",학교에서 바로 쓰는 제미나이 & 노트북LM. 과중한 업무로 교육에 집중할 수 없는 교사들에게 업무 부담을 덜고 교육 본질의 시간을 되찾아 줄 수 있는 AI 활용 방법을 알려 주는 책. 오랜 기간 교육혁신을 주도해 온 6명의 교사는 생성형 AI 2대장 제미나이와...,https://image.yes24.com/goods/184533580/xl
38,184275427,세컨드 브레인은 옵시디언 with 클로드 코드,https://www.yes24.com/product/goods/184275427,시안,골든래빗,2026년 04월,"23,750","25,000",5%,"6,423","세컨드 브레인은 옵시디언 with 클로드 코드. * AI가 노트를 읽고, 쓰고, 연결한다! 옵시디언 × AI 시대의 지식 관리 완전체* 누적 조회수 100만! 생산성 유튜버 시안 저자의 압도적 개정판* 베이스, 클로드 코드, 시맨틱 검색까지, 단 한 권으로 옵...",https://image.yes24.com/goods/184275427/xl
39,175110068,요즘 바이브 코딩 코덱스 완벽 가이드,https://www.yes24.com/product/goods/175110068,윤재원,골든래빗,2026년 02월,"25,200","28,000",10%,"6,675","요즘 바이브 코딩 코덱스 완벽 가이드. * 진짜 개발자는 코덱스를 어떻게 사용할까? 진짜 개발자의 노하우를 배워보자!* 이론부터 구현까지 빠르고 탄탄하게, 코덱스로 완성하는 실전 바이브 코딩! * 초보자가 놓치기 쉬운 프롬프트 엔지니어링의 기초부터 Spec K...",https://image.yes24.com/goods/175110068/xl
40,144648441,구글 시트로 스마트한 학교 만들기 : 교사를 위한 스프레드시트 활용 가이드,https://www.yes24.com/product/goods/144648441,"지미정, 장성진, 유병선",앤써북,2025년 04월,"21,960","24,400",10%,"18,465","구글 시트로 스마트한 학교 만들기 : 교사를 위한 스프레드시트 활용 가이드. 『구글 시트로 스마트한 학교 만들기』는 구글 시트 찐 프로 현직 교사 3인이 유치원·어린이집 및 초·중·고 교사가 수업 준비, 학급 운영, 반복적인 행정 업무에 당장 활용할 수 있는 ...",https://image.yes24.com/goods/144648441/xl
41,193361186,AI가 두려운 당신에게,https://www.yes24.com/product/goods/193361186,"배경훈, 과학기술정보통신부",한빛미디어,2026년 07월,"16,020","17,800",10%,"6,630",AI가 두려운 당신에게. 25년 차 AI 연구자이자 현직 정책 책임자가 답하는 지금 우리에게 필요한 AI 생존 문답AI 시대의 진짜 격차는써본 사람과 두려워하는 사람 사이에서 벌어집니다좋은 질문을 던지는 능력이야말로 고도의 사고 능력이다.- 젠슨 황(엔비디아 ...,https://image.yes24.com/goods/193361186/xl
42,192878493,딥 유토피아,https://www.yes24.com/product/goods/192878493,닉 보스트롬 저/김의석 역,까치(까치글방),2026년 05월,"25,200","28,000",10%,"1,416",딥 유토피아. [슈퍼인텔리전스]에서 인공지능의 위험성을 경고했던 닉 보스트롬!초지능 출현 이후의 시대를 예측하다!모든 것이 완벽하게 해결된 유토피아에서 우리는 무엇을 할까?* 최고의 AI 책 「인포메이션」 / 올해의 책 「커커스 리뷰」** 인디펜던트 프레스 어...,https://image.yes24.com/goods/192878493/xl
43,192509680,요즘 교사를 위한 AI×에듀테크 가이드 음악&미술 수업 편 with 2022 개정 교육과정,https://www.yes24.com/product/goods/192509680,"김태선, 조민의",한빛미디어,2026년 06월,"18,900","21,000",10%,"2,331","요즘 교사를 위한 AI×에듀테크 가이드 음악&미술 수업 편 with 2022 개정 교육과정. AI와 에듀테크로 펼치는 무한한 상상, 교실을 스튜디오로 바꾼다!악보를 몰라도 작곡하고, 솜씨가 없어도 명화를 그리는 음악·미술 수업을 설계하세요.*교실에 바로 쓰는 ...",https://image.yes24.com/goods/192509680/xl
44,191211795,Do it! AI 시대에 살아남는 프런트엔드 면접의 기술,https://www.yes24.com/product/goods/191211795,정희,이지스퍼블리싱,2026년 06월,"32,400","36,000",10%,"5,289","Do it! AI 시대에 살아남는 프런트엔드 면접의 기술. AI 시대, 프런트엔드 개발자에게는 ‘암기’가 아니라 ‘기본기’가 필요 HTML, CSS, 자바스크립트부터 리액트, 넥스트.js, AI 프로젝트까지!한 권으로 합격하는 프런트엔드 면접·실무 완성서! 생...",https://image.yes24.com/goods/191211795/xl
45,191700749,중국 AI 미래 지도,https://www.yes24.com/product/goods/191700749,임선영 저/정진호 그림,책만,2026년 06월,"24,300","27,000",10%,"6,645","중국 AI 미래 지도. 안갯속 미중 기술 전쟁 속에서 지금 우리가 가야 할 길을 알려준다.중국은 지금 정치, 산업, 교육, 자본, 기술을 하나의 설계도 아래 통합하며 새로운 세계의 지도를 그리고 있다. AI가 모든 것을 다시 쓰는 시대, 그 지도가 가리키는 미...",https://image.yes24.com/goods/191700749/xl
46,191693950,AI 시대에 개발자가 알아야 할 인프라 구성 배포 with 클로드 코드,https://www.yes24.com/product/goods/191693950,조훈,길벗,2026년 06월,"21,600","24,000",10%,"5,208",AI 시대에 개발자가 알아야 할 인프라 구성 배포 with 클로드 코드. 자연어로 구축하고 운영하는 AI 네이티브 시대의 첫 인프라 실습서!가상의 스타트업 Notiflex가 창업하는 순간부터 엔터프라이즈 규모까지 성장하는 여정을 따라 클로드 코드로 직접 구현해...,https://image.yes24.com/goods/191693950/xl
47,193160264,원하는 대로 튜닝하는 나만의 sLLM,https://www.yes24.com/product/goods/193160264,오지영,길벗,2026년 07월,"30,600","34,000",10%,"1,002","원하는 대로 튜닝하는 나만의 sLLM. 파인튜닝부터 배포까지, 내가 만드는 sLLM!최근 AI 시장에서는 LLM과 함께 비용 효율성과 보안성을 갖춘 sLLM이 기업 AI의 새로운 선택지로 주목받고 있습니다. sLLM은 적은 연산 자원으로도 높은 성능을 제공하며...",https://image.yes24.com/goods/193160264/xl
48,192695313,"돈이 되네? 주문과 매출이 동시에 터지는 스마트스토어+쿠팡 [AI 실전 활용, 2026년 정책 반영]",https://www.yes24.com/product/goods/192695313,김경은(단아쌤),골든래빗,2026년 07월,"23,220","25,800",10%,"1,818","돈이 되네? 주문과 매출이 동시에 터지는 스마트스토어+쿠팡 [AI 실전 활용, 2026년 정책 반영]. ★ 연매출 10억, 연매출 2억, 3개월 만에 매출 1천만 원이 가능할까요?★ 가능합니다! 이 모든 수치는 단아쌤 강의를 들은 수강생이 실제로 이룬 성과입니...",https://image.yes24.com/goods/192695313/xl
49,183545796,제미나이 교사 마스터 플랜 (2026년 최신판),https://www.yes24.com/product/goods/183545796,한민철,책바세,2026년 04월,"27,000","30,000",10%,"9,642","제미나이 교사 마스터 플랜 (2026년 최신판). AI 시대, 이제 개인의 경쟁력은 `AI 활용 능력`이다. 제미나이와 함께 스마트한 미래를 설계하라!제미나이 업무 · 일상 활용, 이 한 권으로 완벽 마스터!!아이디어 구체화부터 콘텐츠 제작, 나만의 웹앱 개발...",https://image.yes24.com/goods/183545796/xl
50,143907967,된다! 조회수 터지는 유튜브 쇼츠 만들기,https://www.yes24.com/product/goods/143907967,최지영,이지스퍼블리싱,2025년 04월,"19,800","22,000",10%,"24,297","된다! 조회수 터지는 유튜브 쇼츠 만들기. ‘떡상’하는 기획부터 챗GPT, 브루, 캡컷을 활용한 영상 제작까지!첫 영상부터 조회수 터지는 유튜브 쇼츠 전략 대공개제2의 월급을 만들어 주는 수익화 방법도 꾹꾹 눌러 담았다!“유튜브를 하면 좋다는 건 아는데, 어디...",https://image.yes24.com/goods/143907967/xl
51,193044742,한 권으로 끝내는 제미나이 재테크,https://www.yes24.com/product/goods/193044742,조성호,한빛미디어,2026년 07월,"18,900","21,000",10%,"1,170","한 권으로 끝내는 제미나이 재테크. 정보는 넘치지만, 나에게 맞는 답은 없었다AI에게 질문하고 당신만의 경제 해답을 찾는 가장 쉬운 방법유튜브에는 투자 비법이 넘쳐나고, 서점에는 부자가 되는 공식이 가득합니다. 하지만 워런 버핏의 투자법을 따라 한다고 모두가 ...",https://image.yes24.com/goods/193044742/xl
52,192564690,"딸깍! 나의 업무 비서 클로드 with 엑셀, 파워포인트",https://www.yes24.com/product/goods/192564690,LearnAI Team,위키북스,2026년 07월,"23,400","26,000",10%,"1,800","딸깍! 나의 업무 비서 클로드 with 엑셀, 파워포인트. 딸깍! 말만 해도 엑셀이 정리되고, 파워포인트가 완성되는 시대! Claude for Excel·PowerPoint로 시작하는 AI 오피스 업무 자동화마이크로소프트 365에 내장된 Claude for E...",https://image.yes24.com/goods/192564690/xl
